m_t_3,jts3,v3,q3,acceleration
-0.00642,-0.0001501263199397,0.1379999999999999,-0.00274658203125,
-0.00642,-0.0001501263199397,0.1379999999999999,-0.00274658203125,0.0
-0.00749,-0.0001501263199397,-0.054,-0.0,-37.89224393132029
-0.00749,-0.0111059368668147,-0.054,-0.0,0.0
-0.00642,-0.0001501263199397,-0.162,-0.0,-21.574111066719954
-0.00642,-0.0001501263199397,-0.162,-0.0,0.0
-0.0,-0.0001501263199397,-0.0,-0.0020599365234375,32.96032553407933
-0.0,-0.0001501263199397,-0.0,-0.0020599365234375,0.0
0.01284,-0.0220617474136897,0.1379999999999999,0.001373291015625,27.424483306836333
0.01284,-0.0220617474136897,0.1379999999999999,0.001373291015625,0.0
0.03745,-0.3014959515152522,0.6300000000000001,0.001373291015625,99.7971602434074
0.03745,-0.3014959515152522,0.6300000000000001,0.001373291015625,0.0
0.06313,-0.6576208294449397,1.4580000000000002,0.0377655029296875,167.23894162795358
0.06313,-0.6576208294449397,1.4580000000000002,0.0377655029296875,0.0
0.07276,-1.3205846966324395,2.61,0.1023101806640625,235.43838136112768
0.07276,-1.3205846966324395,2.61,0.1023101806640625,0.0
0.0749,-1.4246801556168147,3.786,0.2094268798828125,236.0024081878406
0.0749,-1.4246801556168147,3.786,0.2094268798828125,0.0
0.06313,-0.9808782757340022,5.274,0.3577423095703125,299.5169082125587
0.06313,-0.9808782757340022,5.274,0.3577423095703125,0.0
0.05885,-0.1042455853043147,5.928,0.5472564697265625,129.53060011883474
0.05885,-0.1042455853043147,5.928,0.5472564697265625,0.0
0.06634,0.4272180377425603,6.864,0.759429931640625,190.43743641912505
0.06634,0.4272180377425603,6.864,0.759429931640625,0.0
0.07062,0.2792840777816228,7.77,0.984649658203125,180.11928429423529
0.07062,0.2792840777816228,7.77,0.984649658203125,0.0
0.06848,-0.1152013958511897,8.346,1.2476348876953125,116.1758773699082
0.06848,-0.1152013958511897,8.346,1.2476348876953125,0.0
0.07276,-0.1809515179215022,10.104,1.5277862548828125,346.54050857480803
0.07276,-0.1809515179215022,10.104,1.5277862548828125,0.0
0.06955,-0.1809515179215022,10.872000000000002,1.8628692626953125,124.05104183492202
0.06955,-0.0658849896011897,10.872000000000002,1.8628692626953125,0.0
0.05885,0.4436517535628728,12.054,2.23846435546875,234.57035126016967
0.05885,0.4436517535628728,12.054,2.23846435546875,0.0
0.05029,0.4436517535628728,12.384,2.6470184326171875,63.38839800230451
0.05029,1.1449609576644353,12.384,2.6470184326171875,0.0
0.04922,1.6326013385238105,12.876,3.05419921875,97.31012658227928
0.04922,1.6326013385238105,12.876,3.05419921875,0.0
0.05992,1.8681970416488105,14.55,3.497772216796875,295.60303725940474
0.05992,1.8681970416488105,14.55,3.497772216796875,0.0
0.06527,1.1285272418441228,15.294,3.962631225585937,145.7394711067573
0.06527,1.1285272418441228,15.294,3.962631225585937,0.0
0.06099,1.3586450396956853,16.554,4.4666290283203125,244.18604651163025
0.06099,1.3586450396956853,16.554,4.4666290283203125,0.0
0.07169,2.147631245750373,17.574,5.0042724609375,194.9541284403712
0.07169,2.147631245750373,17.574,5.0042724609375,0.0
0.04815,2.88180788149256,18.972,5.590667724609375,276.5578635014819
0.04815,2.88180788149256,18.972,5.590667724609375,0.0
0.0428,2.88180788149256,19.44,6.2237548828125,91.40625000000172
0.0428,2.9804254352034976,19.44,6.2237548828125,0.0
0.05136,3.59408815493006,20.544,6.8671417236328125,219.13457721318025
0.05136,3.59408815493006,20.544,6.8671417236328125,0.0
0.0428,3.59408815493006,21.966,7.560653686523437,268.2512733446521
0.0428,3.80227907289881,21.966,7.560653686523437,0.0
0.04173,5.067934590476935,22.02,8.279571533203125,10.763404424954985
0.04173,5.067934590476935,22.02,8.279571533203125,0.0
0.03745,5.024096089500373,23.748,9.019775390625,337.17073170732164
0.03745,5.024096089500373,23.748,9.019775390625,0.0
0.03317,5.062456685203498,24.66,9.759292602539062,180.2371541501991
0.03317,5.062456685203498,24.66,9.759292602539062,0.0
0.03531,5.862383443015998,25.644,10.542755126953123,196.36799042107376
0.03531,5.862383443015998,25.644,10.542755126953123,0.0
0.04387,5.517214375633185,26.364,11.37908935546875,143.99999999999716
0.04387,5.517214375633185,26.364,11.37908935546875,0.0
0.02568,7.900576192039435,27.618,12.231216430664062,247.77711914641415
0.02568,7.900576192039435,27.618,12.231216430664062,0.0
0.02247,6.963671284812873,29.214,13.154754638671877,316.6666666666709
0.02247,6.963671284812873,29.214,13.154754638671877,0.0
0.00214,9.631945210594123,29.568,14.100265502929688,71.14147909968088
0.00214,9.631945210594123,29.568,14.100265502929688,0.0
0.00321,9.073076802390998,29.436,15.062255859375,-26.2686567164179
0.00321,9.073076802390998,29.436,15.062255859375,0.0
-0.00107,11.330431538719123,30.012,15.979614257812502,114.85543369890358
-0.00107,11.330431538719123,30.012,15.979614257812502,0.0
-0.0,10.316820698875372,29.628,16.942291259765625,-72.83763277693559
-0.0,10.316820698875372,29.628,16.942291259765625,0.0
-0.00963,11.692049580711313,30.42,17.854843139648438,159.80629539951732
-0.00963,11.692049580711313,30.42,17.854843139648438,0.0
-0.00749,11.505755025047248,30.216,18.85116577148437,-40.125885129818464
-0.00749,11.505755025047248,30.216,18.85116577148437,0.0
-0.02461,13.291903096336313,30.804,19.83924865722656,124.62908011869382
-0.02461,13.291903096336313,30.804,19.83924865722656,0.0
-0.02782,13.401491719383186,29.628,20.837631225585938,-234.26294820716984
-0.02782,13.401491719383186,29.628,20.837631225585938,0.0
-0.03531,13.97677858461756,30.48,21.76254272460937,167.38703339882
-0.03531,13.97677858461756,30.48,21.76254272460937,0.0
-0.02033,13.987749653953498,29.874,22.74169921875,-119.38534278959654
-0.02033,13.987749653953498,29.874,22.74169921875,0.0
-0.02996,14.058977681297248,30.918000000000003,23.736648559570312,206.7736185383219
-0.02996,14.058977681297248,30.918000000000003,23.736648559570312,0.0
-0.03959,14.058977681297248,30.341999999999995,24.713058471679688,-114.08199643493728
-0.03959,15.352007466453498,30.341999999999995,24.713058471679688,0.0
-0.05885,16.321795064109747,30.066,25.745086669921875,-52.18377765172832
-0.05885,16.321795064109747,30.066,25.745086669921875,0.0
-0.05457,17.855913716453497,30.918000000000003,26.68853759765625,162.81291802025547
-0.05457,17.855913716453497,30.918000000000003,26.68853759765625,0.0
-0.05671,17.49978883852381,30.282,27.677993774414062,-127.89060929016448
-0.05671,17.49978883852381,30.282,27.677993774414062,0.0
-0.06206,18.34355409731287,31.056,28.65097045898437,157.76600081532587
-0.06206,18.34355409731287,31.056,28.65097045898437,0.0
-0.05885,17.92166383852381,30.15,29.61227416992188,-181.0189810189761
-0.05885,17.92166383852381,30.15,29.61227416992188,0.0
-0.08667,19.47769411196131,30.672,30.620269775390625,104.6092184368731
-0.08667,19.47769411196131,30.672,30.620269775390625,0.0
-0.08132,19.768084126609747,29.982,31.63787841796875,-137.3407643312127
-0.08132,19.768084126609747,29.982,31.63787841796875,0.0
-0.08774,20.502276021141,30.42,32.56622314453125,88.25307273826273
