timestamp,m_t_5,jts5,v5,q5,time_seconds,velocity
13:14:50.504473,-0.01062,0.0214859944926979,-0.0,0.0006866455078125,0.0,
13:14:50.509362,-0.01062,0.0214859944926979,0.0059999999999999,-0.0,0.004889,-0.14044702552924934
13:14:50.514239,-0.01062,0.0214859944926979,0.0059999999999999,-0.0,0.009766,0.0
13:14:50.519279,-0.01062,0.0214859944926979,0.0059999999999999,-0.0,0.014806,0.0
13:14:50.524273,-0.01062,0.0214859944926979,0.0059999999999999,-0.0,0.0198,0.0
13:14:50.529194,-0.01062,0.0214859944926979,0.0059999999999999,-0.0,0.024721,0.0
13:14:50.534180,-0.01062,0.0214859944926979,0.0059999999999999,-0.0,0.029707,0.0
13:14:50.539230,-0.01062,0.0422684651958229,-0.0,0.001373291015625,0.034757,0.2719388149752474
13:14:50.544127,-0.01062,0.0422684651958229,-0.0,0.001373291015625,0.039654,0.0
13:14:50.549069,-0.01062,0.0422684651958229,-0.0,0.001373291015625,0.044596,0.0
13:14:50.554115,-0.01062,0.0422684651958229,-0.0,0.001373291015625,0.049642,0.0
13:14:50.559259,-0.01062,0.0422684651958229,-0.0,0.001373291015625,0.054786,0.0
13:14:50.564126,-0.01062,0.0422684651958229,-0.0,0.001373291015625,0.059653,0.0
13:14:50.569088,-0.01062,0.0422684651958229,-0.0,0.001373291015625,0.064615,0.0
13:14:50.574180,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125,0.069707,-0.404543700596524
13:14:50.579156,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125,0.074683,0.0
13:14:50.584061,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125,0.079588,0.0
13:14:50.589085,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125,0.084612,0.0
13:14:50.594087,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125,0.089614,0.0
13:14:50.599095,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125,0.094622,0.0
13:14:50.604526,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125,0.100053,-0.3792923077586997
13:14:50.609312,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125,0.104839,0.0
13:14:50.614392,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125,0.109919,0.0
13:14:50.619145,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125,0.114672,0.0
13:14:50.624449,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125,0.119976,0.0
13:14:50.629451,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125,0.124978,0.0
13:14:50.634438,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125,0.129965,0.0
13:14:50.639394,-0.0,0.0214859944926979,0.108,-0.001373291015625,0.134921,0.27709665367735986
13:14:50.644455,-0.0,0.0214859944926979,0.108,-0.001373291015625,0.139982,0.0
13:14:50.649448,-0.0,0.0214859944926979,0.108,-0.001373291015625,0.144975,0.0
13:14:50.654434,-0.0,0.0214859944926979,0.108,-0.001373291015625,0.149961,0.0
13:14:50.659449,-0.0,0.0214859944926979,0.108,-0.001373291015625,0.154976,0.0
13:14:50.664429,-0.0,0.0214859944926979,0.108,-0.001373291015625,0.159956,0.0
13:14:50.669346,0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125,0.164873,1.536119704278522
13:14:50.674357,0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125,0.169884,0.0
13:14:50.679406,0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125,0.174933,0.0
13:14:50.684413,0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125,0.17994,0.0
13:14:50.689408,0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125,0.184935,0.0
13:14:50.694346,0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125,0.189873,0.0
13:14:50.699405,0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125,0.194932,0.0
13:14:50.704306,0.0259599999999999,0.0214859944926979,0.75,0.0240325927734375,0.199833,3.642681739058343
