m_t_5,jts5,v5,q5,velocity
-0.01062,0.0214859944926979,-0.0,0.0006866455078125,
-0.01062,0.0214859944926979,0.0059999999999999,-0.0,-0.1404470255292493
-0.01062,0.0214859944926979,0.0059999999999999,-0.0,0.0
-0.01062,0.0422684651958229,-0.0,0.001373291015625,0.2719388149752474
-0.01062,0.0422684651958229,-0.0,0.001373291015625,0.0
-0.00767,0.0214859944926979,-0.0,-0.0006866455078125,-0.404543700596524
-0.00767,0.0214859944926979,-0.0,-0.0006866455078125,0.0
-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125,-0.3792923077586997
-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125,0.0
-0.0,0.0214859944926979,0.108,-0.001373291015625,0.2770966536773598
-0.0,0.0214859944926979,0.108,-0.001373291015625,0.0
0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125,1.536119704278522
0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125,0.0
0.0259599999999999,0.0214859944926979,0.75,0.0240325927734375,3.642681739058343
0.0259599999999999,0.0214859944926979,0.75,0.0240325927734375,0.0
0.03835,0.0214859944926979,2.418,0.0707244873046875,10.327780254644995
0.03835,0.0214859944926979,2.418,0.0707244873046875,0.0
0.0401199999999999,-0.030515958632302,4.5600000000000005,0.1792144775390625,21.53861231573848
0.0401199999999999,-0.030515958632302,4.5600000000000005,0.1792144775390625,0.0
0.0371699999999999,-0.030515958632302,6.672,0.3563690185546875,33.93115131500171
0.0371699999999999,-0.030515958632302,6.672,0.3563690185546875,0.0
0.0348099999999999,0.0214859944926979,7.998,0.5980682373046875,47.87071078431348
0.0348099999999999,0.0214859944926979,7.998,0.5980682373046875,0.0
0.03068,0.0214859944926979,8.861999999999998,0.869293212890625,54.2016338101393
0.03068,0.0214859944926979,8.861999999999998,0.869293212890625,0.0
0.03304,0.1462723714458229,9.486,1.1611175537109375,57.79844341856031
0.03304,0.1462723714458229,9.486,1.1611175537109375,0.0
0.03127,0.1566788655864479,10.080000000000002,1.487274169921875,68.1053698498514
0.03127,0.1566788655864479,10.080000000000002,1.487274169921875,0.0
0.03304,0.1462723714458229,10.62,1.82373046875,66.1404165182088
0.03304,0.1462723714458229,10.62,1.82373046875,0.0
