timestamp,m_t_1,m_t_2,m_t_3,m_t_4,m_t_5,m_t_6,jts1,jts2,jts3,jts4,jts5,jts6,v1,v2,v3,v4,v5,v6,q1,q2,q3,q4,q5,q6,time_sec,a1,a2,a3,a4,a5
2026-06-05 14:29:39.776097,0.01647,-0.02013,-0.0,-0.0,0.0064899999999999,-0.0,-0.1420566604779125,-0.0404259026152002,-0.0040382179892679,0.0008899803778546,0.0199066946952723,0.0362205207688406,-0.0,0.0,-0.108,-0.0059999999999999,-0.0119999999999999,-0.0059999999999999,0.0010299682617187,-0.0020599365234375,-0.0006866455078125,-0.0,0.0054931640625,0.0006866455078125,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05 14:29:39.781012,0.01647,-0.02013,-0.0,-0.0,0.0064899999999999,-0.0,-0.1420566604779125,-0.0404259026152002,-0.0040382179892679,0.0008899803778546,0.0199066946952723,0.0362205207688406,-0.0,0.0,-0.108,-0.0059999999999999,-0.0119999999999999,-0.0059999999999999,0.0010299682617187,-0.0020599365234375,-0.0006866455078125,-0.0,0.0054931640625,0.0006866455078125,0.004915,0.0,0.0,0.0,0.0,0.0
2026-06-05 14:29:39.786063,0.01647,-0.02013,-0.0,-0.0,0.0064899999999999,-0.0,-0.1420566604779125,-0.0404259026152002,-0.0040382179892679,0.0008899803778546,0.0199066946952723,0.0362205207688406,-0.0,0.0,-0.108,-0.0059999999999999,-0.0119999999999999,-0.0059999999999999,0.0010299682617187,-0.0020599365234375,-0.0006866455078125,-0.0,0.0054931640625,0.0006866455078125,0.009966,0.0,0.0,0.0,0.0,0.0
2026-06-05 14:29:39.790936,0.01647,-0.02013,-0.0,-0.0,0.0064899999999999,-0.0,-0.1420566604779125,-0.0404259026152002,-0.0040382179892679,0.0008899803778546,0.0199066946952723,0.0362205207688406,-0.0,0.0,-0.108,-0.0059999999999999,-0.0119999999999999,-0.0059999999999999,0.0010299682617187,-0.0020599365234375,-0.0006866455078125,-0.0,0.0054931640625,0.0006866455078125,0.014839,0.0,0.0,0.0,0.0,0.0
2026-06-05 14:29:39.796260,0.01647,-0.02013,-0.0,-0.0,0.0064899999999999,-0.0,-0.1420566604779125,-0.0404259026152002,-0.0040382179892679,0.0008899803778546,0.0199066946952723,0.0362205207688406,-0.0,0.0,-0.108,-0.0059999999999999,-0.0119999999999999,-0.0059999999999999,0.0010299682617187,-0.0020599365234375,-0.0006866455078125,-0.0,0.0054931640625,0.0006866455078125,0.020163,0.0,0.0,0.0,0.0,0.0
2026-06-05 14:29:39.800862,0.01464,-0.02013,-0.0,-0.0,0.0059,-0.0,-0.1420566604779125,-0.0404259026152002,-0.0040382179892679,0.0008899803778546,0.0199066946952723,0.0362205207688406,-0.0,0.0,0.054,-0.0059999999999999,0.0059999999999999,0.0119999999999999,0.0020599365234375,-0.0030899047851562,0.0034332275390625,0.0020599365234375,0.004119873046875,0.0006866455078125,0.024765,0.0,0.0,35.20208604954369,0.0,3.9113428943937
2026-06-05 14:29:39.805928,0.01464,-0.02013,-0.0,-0.0,0.0059,-0.0,-0.1420566604779125,0.0269569098847997,-0.0040382179892679,0.0008899803778546,0.0303131888358973,0.0262717903000906,-0.0,0.0,0.054,-0.0059999999999999,0.0059999999999999,0.0119999999999999,0.0020599365234375,-0.0030899047851562,0.0034332275390625,0.0020599365234375,0.004119873046875,0.0006866455078125,0.029831,0.0,0.0,0.0,0.0,0.0
2026-06-05 14:29:39.810861,0.01464,-0.02013,-0.0,-0.0,0.0059,-0.0,-0.1420566604779125,0.0269569098847997,-0.0040382179892679,0.0008899803778546,0.0303131888358973,0.0262717903000906,-0.0,0.0,0.054,-0.0059999999999999,0.0059999999999999,0.0119999999999999,0.0020599365234375,-0.0030899047851562,0.0034332275390625,0.0020599365234375,0.004119873046875,0.0006866455078125,0.034764,0.0,0.0,0.0,0.0,0.0
2026-06-05 14:29:39.815941,0.01464,-0.02013,-0.0,-0.0,0.0059,-0.0,-0.1420566604779125,0.0269569098847997,-0.0040382179892679,0.0008899803778546,0.0303131888358973,0.0262717903000906,-0.0,0.0,0.054,-0.0059999999999999,0.0059999999999999,0.0119999999999999,0.0020599365234375,-0.0030899047851562,0.0034332275390625,0.0020599365234375,0.004119873046875,0.0006866455078125,0.039844,0.0,0.0,0.0,0.0,0.0
2026-06-05 14:29:39.820863,0.01464,-0.02013,-0.0,-0.0,0.0059,-0.0,-0.1420566604779125,0.0269569098847997,-0.0040382179892679,0.0008899803778546,0.0303131888358973,0.0262717903000906,-0.0,0.0,0.054,-0.0059999999999999,0.0059999999999999,0.0119999999999999,0.0020599365234375,-0.0030899047851562,0.0034332275390625,0.0020599365234375,0.004119873046875,0.0006866455078125,0.044766,0.0,0.0,0.0,0.0,0.0
