timestamp,m_t_5,jts5,v5,q5
13:14:50.504473,-0.01062,0.0214859944926979,-0.0,0.0006866455078125
13:14:50.509362,-0.01062,0.0214859944926979,0.0059999999999999,-0.0
13:14:50.514239,-0.01062,0.0214859944926979,0.0059999999999999,-0.0
13:14:50.519279,-0.01062,0.0214859944926979,0.0059999999999999,-0.0
13:14:50.524273,-0.01062,0.0214859944926979,0.0059999999999999,-0.0
13:14:50.529194,-0.01062,0.0214859944926979,0.0059999999999999,-0.0
13:14:50.534180,-0.01062,0.0214859944926979,0.0059999999999999,-0.0
13:14:50.539230,-0.01062,0.0422684651958229,-0.0,0.001373291015625
13:14:50.544127,-0.01062,0.0422684651958229,-0.0,0.001373291015625
13:14:50.549069,-0.01062,0.0422684651958229,-0.0,0.001373291015625
13:14:50.554115,-0.01062,0.0422684651958229,-0.0,0.001373291015625
13:14:50.559259,-0.01062,0.0422684651958229,-0.0,0.001373291015625
13:14:50.564126,-0.01062,0.0422684651958229,-0.0,0.001373291015625
13:14:50.569088,-0.01062,0.0422684651958229,-0.0,0.001373291015625
13:14:50.574180,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125
13:14:50.579156,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125
13:14:50.584061,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125
13:14:50.589085,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125
13:14:50.594087,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125
13:14:50.599095,-0.00767,0.0214859944926979,-0.0,-0.0006866455078125
13:14:50.604526,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125
13:14:50.609312,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125
13:14:50.614392,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125
13:14:50.619145,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125
13:14:50.624449,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125
13:14:50.629451,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125
13:14:50.634438,-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125
13:14:50.639394,-0.0,0.0214859944926979,0.108,-0.001373291015625
13:14:50.644455,-0.0,0.0214859944926979,0.108,-0.001373291015625
13:14:50.649448,-0.0,0.0214859944926979,0.108,-0.001373291015625
13:14:50.654434,-0.0,0.0214859944926979,0.108,-0.001373291015625
13:14:50.659449,-0.0,0.0214859944926979,0.108,-0.001373291015625
13:14:50.664429,-0.0,0.0214859944926979,0.108,-0.001373291015625
13:14:50.669346,0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125
13:14:50.674357,0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125
