m_t_2,jts2,v2,q2,acceleration
-0.01464,0.337786225463327,0.0,0.0003433227539062,
-0.01464,0.337786225463327,0.0,0.0003433227539062,0.0
-0.0183,0.337786225463327,0.0,-0.0003433227539062,0.0
-0.01098,0.337786225463327,0.0,0.0006866455078125,0.0
0.00549,0.270647553588327,0.066,0.0010299682617187,10.551558752997607
0.00549,0.270647553588327,0.066,0.0010299682617187,0.0
0.05856,-0.535993071411673,0.378,0.0089263916015625,62.51252254057327
0.05856,-0.535993071411673,0.378,0.0089263916015625,0.0
0.11712,-2.082379790161673,1.062,0.0284957885742187,121.49200710479585
0.11712,-2.082379790161673,1.062,0.0284957885742187,0.0
0.12627,-4.5025458057866725,2.022,0.0772476196289062,192.57773319959807
0.12627,-4.5025458057866725,2.022,0.0772476196289062,0.0
0.13908,-4.5025458057866725,2.9160000000000004,0.15655517578125,149.84914515588346
0.13908,-4.5025458057866725,2.9160000000000004,0.15655517578125,0.0
0.13359,-4.1663641651616725,3.852,0.2808380126953125,186.4170483967337
0.13359,-4.1663641651616725,3.852,0.2808380126953125,0.0
0.12078,-2.082379790161673,4.758,0.4315567016601562,181.964249849369
0.12078,-2.082379790161673,4.758,0.4315567016601562,0.0
0.12078,-0.805036040161673,5.586,0.6018447875976562,165.40151817818588
0.12078,-0.805036040161673,5.586,0.6018447875976562,0.0
0.1281,-0.535993071411673,6.534,0.7982254028320312,191.6312916919352
0.1281,-0.535993071411673,6.534,0.7982254028320312,0.0
0.14274,-1.141217680786673,7.344,1.0251617431640625,154.87571701720813
0.14274,-1.141217680786673,7.344,1.0251617431640625,0.0
0.1464,-2.418561430786673,8.526,1.2857437133789062,235.45816733067863
0.1464,-2.418561430786673,8.526,1.2857437133789062,0.0
0.14457,-1.947858305786673,9.582,1.5755081176757812,217.8217821782172
0.14457,-1.947858305786673,9.582,1.5755081176757812,0.0
0.14274,-1.342877837036673,10.566,1.9102478027343752,194.466403162055
0.14274,-1.342877837036673,10.566,1.9102478027343752,0.0
0.12627,-0.2671942432866729,11.448,2.276573181152344,170.17171522284224
0.12627,-0.2671942432866729,11.448,2.276573181152344,0.0
0.11712,2.892473725463327,12.281999999999998,2.67242431640625,168.62110796603253
0.11712,2.892473725463327,12.281999999999998,2.67242431640625,0.0
0.09333,4.976702241088328,13.398,3.1046676635742188,210.32793064455672
0.09333,4.976702241088328,13.398,3.1046676635742188,0.0
