m_t_3,jts3,v3,q3,velocity
-0.00642,-0.0001501263199397,0.1379999999999999,-0.00274658203125,
-0.00642,-0.0001501263199397,0.1379999999999999,-0.00274658203125,0.0
-0.00749,-0.0001501263199397,-0.054,-0.0,0.5420528974245117
-0.00749,-0.0111059368668147,-0.054,-0.0,0.0
-0.00642,-0.0001501263199397,-0.162,-0.0,0.0
-0.0,-0.0001501263199397,-0.0,-0.0020599365234375,-0.4191122122965409
-0.0,-0.0001501263199397,-0.0,-0.0020599365234375,0.0
0.01284,-0.0220617474136897,0.1379999999999999,0.001373291015625,0.6822789227071767
0.01284,-0.0220617474136897,0.1379999999999999,0.001373291015625,0.0
0.03745,-0.3014959515152522,0.6300000000000001,0.001373291015625,0.0
0.06313,-0.6576208294449397,1.4580000000000002,0.0377655029296875,7.350477057980695
0.06313,-0.6576208294449397,1.4580000000000002,0.0377655029296875,0.0
0.07276,-1.3205846966324395,2.61,0.1023101806640625,13.191227822271587
0.07276,-1.3205846966324395,2.61,0.1023101806640625,0.0
0.0749,-1.4246801556168147,3.786,0.2094268798828125,21.49642769792311
0.0749,-1.4246801556168147,3.786,0.2094268798828125,0.0
0.06313,-0.9808782757340022,5.274,0.3577423095703125,29.85415251358679
0.06313,-0.9808782757340022,5.274,0.3577423095703125,0.0
0.05885,-0.1042455853043147,5.928,0.5472564697265625,37.53498913770034
0.05885,-0.1042455853043147,5.928,0.5472564697265625,0.0
0.06634,0.4272180377425603,6.864,0.759429931640625,43.16855786654372
0.06634,0.4272180377425603,6.864,0.759429931640625,0.0
0.07062,0.2792840777816228,7.77,0.984649658203125,44.77529355119303
0.07062,0.2792840777816228,7.77,0.984649658203125,0.0
0.06848,-0.1152013958511897,8.346,1.2476348876953125,53.0426037701068
0.06848,-0.1152013958511897,8.346,1.2476348876953125,0.0
0.07276,-0.1809515179215022,10.104,1.5277862548828125,55.22400299379072
0.07276,-0.1809515179215022,10.104,1.5277862548828125,0.0
0.06955,-0.1809515179215022,10.872000000000002,1.8628692626953125,54.12421382854141
0.06955,-0.0658849896011897,10.872000000000002,1.8628692626953125,0.0
0.05885,0.4436517535628728,12.054,2.23846435546875,74.53762507907052
0.05885,0.4436517535628728,12.054,2.23846435546875,0.0
0.05029,0.4436517535628728,12.384,2.6470184326171875,78.47754075075568
0.05029,1.1449609576644353,12.384,2.6470184326171875,0.0
0.04922,1.6326013385238105,12.876,3.05419921875,80.53417447247163
0.04922,1.6326013385238105,12.876,3.05419921875,0.0
0.05992,1.8681970416488105,14.55,3.497772216796875,78.32827088943618
0.05992,1.8681970416488105,14.55,3.497772216796875,0.0
0.06527,1.1285272418441228,15.294,3.962631225585937,91.05955118296956
0.06527,1.1285272418441228,15.294,3.962631225585937,0.0
0.06099,1.3586450396956853,16.554,4.4666290283203125,97.67399277798084
0.06099,1.3586450396956853,16.554,4.4666290283203125,0.0
0.07169,2.147631245750373,17.574,5.0042724609375,102.76059491918912
0.07169,2.147631245750373,17.574,5.0042724609375,0.0
0.04815,2.88180788149256,18.972,5.590667724609375,116.00301951965804
0.04815,2.88180788149256,18.972,5.590667724609375,0.0
0.0428,2.88180788149256,19.44,6.2237548828125,123.6498355865502
0.0428,2.9804254352034976,19.44,6.2237548828125,0.0
0.05136,3.59408815493006,20.544,6.8671417236328125,127.7067965105824
0.05136,3.59408815493006,20.544,6.8671417236328125,0.0
0.0428,3.59408815493006,21.966,7.560653686523437,130.82662948323411
0.0428,3.80227907289881,21.966,7.560653686523437,0.0
0.04173,5.067934590476935,22.02,8.279571533203125,143.29636170613858
0.04173,5.067934590476935,22.02,8.279571533203125,0.0
0.03745,5.024096089500373,23.748,9.019775390625,144.43002096036767
0.03745,5.024096089500373,23.748,9.019775390625,0.0
0.03317,5.062456685203498,24.66,9.759292602539062,146.1496466233339
0.03317,5.062456685203498,24.66,9.759292602539062,0.0
0.03531,5.862383443015998,25.644,10.542755126953123,156.34853809899474
0.03531,5.862383443015998,25.644,10.542755126953123,0.0
0.04387,5.517214375633185,26.364,11.37908935546875,167.2668457031215
0.04387,5.517214375633185,26.364,11.37908935546875,0.0
0.02568,7.900576192039435,27.618,12.231216430664062,168.37128535769918
0.02568,7.900576192039435,27.618,12.231216430664062,0.0
0.02247,6.963671284812873,29.214,13.154754638671877,183.2417079380608
0.02247,6.963671284812873,29.214,13.154754638671877,0.0
0.00214,9.631945210594123,29.568,14.100265502929688,190.0142412093721
0.00214,9.631945210594123,29.568,14.100265502929688,0.0
0.00321,9.073076802390998,29.436,15.062255859375,191.44086695428888
0.00321,9.073076802390998,29.436,15.062255859375,0.0
-0.00107,11.330431538719123,30.012,15.979614257812502,182.9229109546368
-0.00107,11.330431538719123,30.012,15.979614257812502,0.0
-0.0,10.316820698875372,29.628,16.942291259765625,182.60185924755947
-0.0,10.316820698875372,29.628,16.942291259765625,0.0
-0.00963,11.692049580711313,30.42,17.854843139648438,184.1307263686077
-0.00963,11.692049580711313,30.42,17.854843139648438,0.0
-0.00749,11.505755025047248,30.216,18.85116577148437,195.97219351611264
-0.00749,11.505755025047248,30.216,18.85116577148437,0.0
-0.02461,13.291903096336313,30.804,19.83924865722656,209.42833525692825
-0.02461,13.291903096336313,30.804,19.83924865722656,0.0
-0.02782,13.401491719383186,29.628,20.837631225585938,198.88098971302264
-0.02782,13.401491719383186,29.628,20.837631225585938,0.0
-0.03531,13.97677858461756,30.48,21.76254272460937,181.71149293191095
-0.03531,13.97677858461756,30.48,21.76254272460937,0.0
-0.02033,13.987749653953498,29.874,22.74169921875,192.89923052415543
-0.02033,13.987749653953498,29.874,22.74169921875,0.0
-0.02996,14.058977681297248,30.918000000000003,23.736648559570312,197.05869297292463
-0.02996,14.058977681297248,30.918000000000003,23.736648559570312,0.0
-0.03959,14.058977681297248,30.341999999999995,24.713058471679688,193.3867918616279
-0.03959,15.352007466453498,30.341999999999995,24.713058471679688,0.0
-0.05885,16.321795064109747,30.066,25.745086669921875,195.12728270791607
-0.05885,16.321795064109747,30.066,25.745086669921875,0.0
-0.05457,17.855913716453497,30.918000000000003,26.68853759765625,180.28873069642023
-0.05457,17.855913716453497,30.918000000000003,26.68853759765625,0.0
-0.05671,17.49978883852381,30.282,27.677993774414062,198.96564986080625
-0.05671,17.49978883852381,30.282,27.677993774414062,0.0
-0.06206,18.34355409731287,31.056,28.65097045898437,198.3238248206877
-0.06206,18.34355409731287,31.056,28.65097045898437,0.0
-0.05885,17.92166383852381,30.15,29.61227416992188,192.0686735139817
-0.05885,17.92166383852381,30.15,29.61227416992188,0.0
-0.08667,19.47769411196131,30.672,30.620269775390625,202.00312734844417
-0.08667,19.47769411196131,30.672,30.620269775390625,0.0
-0.08132,19.768084126609747,29.982,31.63787841796875,202.54949095902504
-0.08132,19.768084126609747,29.982,31.63787841796875,0.0
-0.08774,20.502276021141,30.42,32.56622314453125,187.0531385376769
-0.08774,20.502276021141,30.42,32.56622314453125,0.0
-0.08132,20.858416157859747,29.706,33.54949951171875,196.4980749775177
