timestamp,m_t_1,m_t_2,m_t_3,m_t_4,m_t_5,m_t_6,jts1,jts2,jts3,jts4,jts5,jts6,v1,v2,v3,v4,v5,v6,q1,q2,q3,q4,q5,q6
13:13:15.099129,0.01098,-0.00915,-0.00642,0.00295,-0.00177,0.0118,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,0.021485994492697946,0.000723750383323285,-0.0,0.0,0.13799999999999998,0.005999999999999999,0.005999999999999999,0.005999999999999999,-0.0006866455078125,0.0,-0.00274658203125,0.0006866455078125,0.0020599365234375,-0.0020599365234375
13:13:15.104060,0.01098,-0.00915,-0.00642,0.00295,-0.00177,0.0118,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,0.021485994492697946,0.000723750383323285,-0.0,0.0,0.13799999999999998,0.005999999999999999,0.005999999999999999,0.005999999999999999,-0.0006866455078125,0.0,-0.00274658203125,0.0006866455078125,0.0020599365234375,-0.0020599365234375
13:13:15.109011,0.01098,-0.00915,-0.00642,0.00295,-0.00177,0.0118,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,0.021485994492697946,0.000723750383323285,-0.0,0.0,0.13799999999999998,0.005999999999999999,0.005999999999999999,0.005999999999999999,-0.0006866455078125,0.0,-0.00274658203125,0.0006866455078125,0.0020599365234375,-0.0020599365234375
13:13:15.114038,0.01098,-0.00915,-0.00642,0.00295,-0.00177,0.0118,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,0.021485994492697946,0.000723750383323285,-0.0,0.0,0.13799999999999998,0.005999999999999999,0.005999999999999999,0.005999999999999999,-0.0006866455078125,0.0,-0.00274658203125,0.0006866455078125,0.0020599365234375,-0.0020599365234375
13:13:15.119071,0.01098,-0.00915,-0.00642,0.00295,-0.00177,0.0118,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,0.021485994492697946,0.000723750383323285,-0.0,0.0,0.13799999999999998,0.005999999999999999,0.005999999999999999,0.005999999999999999,-0.0006866455078125,0.0,-0.00274658203125,0.0006866455078125,0.0020599365234375,-0.0020599365234375
13:13:15.124073,0.01098,-0.00915,-0.00642,0.00295,-0.00177,0.0118,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,0.021485994492697946,0.000723750383323285,-0.0,0.0,0.13799999999999998,0.005999999999999999,0.005999999999999999,0.005999999999999999,-0.0006866455078125,0.0,-0.00274658203125,0.0006866455078125,0.0020599365234375,-0.0020599365234375
13:13:15.129140,0.01098,-0.00915,-0.00749,0.00177,-0.00177,0.012979999999999998,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,0.021485994492697946,0.000723750383323285,-0.0,0.0,-0.054,-0.005999999999999999,-0.005999999999999999,-0.011999999999999999,-0.0006866455078125,0.00102996826171875,-0.0,0.0006866455078125,0.0006866455078125,-0.0006866455078125
13:13:15.134006,0.01098,-0.00915,-0.00749,0.00177,-0.00177,0.012979999999999998,0.6515481270735748,0.33778622546332704,-0.011105936866814714,7.101954526345097e-05,0.011079500352072946,0.000723750383323285,-0.0,0.0,-0.054,-0.005999999999999999,-0.005999999999999999,-0.011999999999999999,-0.0006866455078125,0.00102996826171875,-0.0,0.0006866455078125,0.0006866455078125,-0.0006866455078125
13:13:15.139045,0.01098,-0.00915,-0.00749,0.00177,-0.00177,0.012979999999999998,0.6515481270735748,0.33778622546332704,-0.011105936866814714,7.101954526345097e-05,0.011079500352072946,0.000723750383323285,-0.0,0.0,-0.054,-0.005999999999999999,-0.005999999999999999,-0.011999999999999999,-0.0006866455078125,0.00102996826171875,-0.0,0.0006866455078125,0.0006866455078125,-0.0006866455078125
13:13:15.144064,0.01098,-0.00915,-0.00749,0.00177,-0.00177,0.012979999999999998,0.6515481270735748,0.33778622546332704,-0.011105936866814714,7.101954526345097e-05,0.011079500352072946,0.000723750383323285,-0.0,0.0,-0.054,-0.005999999999999999,-0.005999999999999999,-0.011999999999999999,-0.0006866455078125,0.00102996826171875,-0.0,0.0006866455078125,0.0006866455078125,-0.0006866455078125
13:13:15.149062,0.01098,-0.00915,-0.00749,0.00177,-0.00177,0.012979999999999998,0.6515481270735748,0.33778622546332704,-0.011105936866814714,7.101954526345097e-05,0.011079500352072946,0.000723750383323285,-0.0,0.0,-0.054,-0.005999999999999999,-0.005999999999999999,-0.011999999999999999,-0.0006866455078125,0.00102996826171875,-0.0,0.0006866455078125,0.0006866455078125,-0.0006866455078125
13:13:15.154062,0.01098,-0.00915,-0.00749,0.00177,-0.00177,0.012979999999999998,0.6515481270735748,0.33778622546332704,-0.011105936866814714,7.101954526345097e-05,0.011079500352072946,0.000723750383323285,-0.0,0.0,-0.054,-0.005999999999999999,-0.005999999999999999,-0.011999999999999999,-0.0006866455078125,0.00102996826171875,-0.0,0.0006866455078125,0.0006866455078125,-0.0006866455078125
13:13:15.159065,0.01098,-0.00915,-0.00749,0.00177,-0.00177,0.012979999999999998,0.6515481270735748,0.33778622546332704,-0.011105936866814714,7.101954526345097e-05,0.011079500352072946,0.000723750383323285,-0.0,0.0,-0.054,-0.005999999999999999,-0.005999999999999999,-0.011999999999999999,-0.0006866455078125,0.00102996826171875,-0.0,0.0006866455078125,0.0006866455078125,-0.0006866455078125
13:13:15.164071,0.01098,-0.00732,-0.00642,0.00295,-0.00295,0.012389999999999998,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,-0.020109464491677054,0.000723750383323285,-0.0,0.0,-0.162,-0.0,-0.011999999999999999,0.005999999999999999,-0.00034332275390625,0.00171661376953125,-0.0,0.0006866455078125,0.001373291015625,-0.0
13:13:15.169066,0.01098,-0.00732,-0.00642,0.00295,-0.00295,0.012389999999999998,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,-0.020109464491677054,0.000723750383323285,-0.0,0.0,-0.162,-0.0,-0.011999999999999999,0.005999999999999999,-0.00034332275390625,0.00171661376953125,-0.0,0.0006866455078125,0.001373291015625,-0.0
13:13:15.174059,0.01098,-0.00732,-0.00642,0.00295,-0.00295,0.012389999999999998,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,-0.020109464491677054,0.000723750383323285,-0.0,0.0,-0.162,-0.0,-0.011999999999999999,0.005999999999999999,-0.00034332275390625,0.00171661376953125,-0.0,0.0006866455078125,0.001373291015625,-0.0
13:13:15.179019,0.01098,-0.00732,-0.00642,0.00295,-0.00295,0.012389999999999998,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,-0.020109464491677054,0.000723750383323285,-0.0,0.0,-0.162,-0.0,-0.011999999999999999,0.005999999999999999,-0.00034332275390625,0.00171661376953125,-0.0,0.0006866455078125,0.001373291015625,-0.0
13:13:15.184053,0.01098,-0.00732,-0.00642,0.00295,-0.00295,0.012389999999999998,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,-0.020109464491677054,0.000723750383323285,-0.0,0.0,-0.162,-0.0,-0.011999999999999999,0.005999999999999999,-0.00034332275390625,0.00171661376953125,-0.0,0.0006866455078125,0.001373291015625,-0.0
13:13:15.189064,0.01098,-0.00732,-0.00642,0.00295,-0.00295,0.012389999999999998,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,-0.020109464491677054,0.000723750383323285,-0.0,0.0,-0.162,-0.0,-0.011999999999999999,0.005999999999999999,-0.00034332275390625,0.00171661376953125,-0.0,0.0006866455078125,0.001373291015625,-0.0
13:13:15.194156,0.01098,-0.00732,-0.00642,0.00295,-0.00295,0.012389999999999998,0.6841409005110748,0.33778622546332704,-0.00015012631993971404,7.101954526345097e-05,-0.020109464491677054,0.000723750383323285,-0.0,0.0,-0.162,-0.0,-0.011999999999999999,0.005999999999999999,-0.00034332275390625,0.00171661376953125,-0.0,0.0006866455078125,0.001373291015625,-0.0
