m_t_5,jts5,v5,q5
-0.01062,0.0214859944926979,-0.0,0.0006866455078125
-0.01062,0.0214859944926979,0.0059999999999999,-0.0
-0.01062,0.0422684651958229,-0.0,0.001373291015625
-0.00767,0.0214859944926979,-0.0,-0.0006866455078125
-0.0064899999999999,0.0214859944926979,-0.0,-0.00274658203125
-0.0,0.0214859944926979,0.108,-0.001373291015625
0.00826,0.0214859944926979,0.4379999999999999,0.0061798095703125
0.0259599999999999,0.0214859944926979,0.75,0.0240325927734375
0.03835,0.0214859944926979,2.418,0.0707244873046875
0.0401199999999999,-0.030515958632302,4.5600000000000005,0.1792144775390625
0.0371699999999999,-0.030515958632302,6.672,0.3563690185546875
0.0348099999999999,0.0214859944926979,7.998,0.5980682373046875
0.03068,0.0214859944926979,8.861999999999998,0.869293212890625
0.03304,0.1462723714458229,9.486,1.1611175537109375
0.03127,0.1566788655864479,10.080000000000002,1.487274169921875
0.03304,0.1462723714458229,10.62,1.82373046875
0.03422,0.1878678304301979,11.364,2.166366577148437
0.03658,0.1670853597270729,12.534,2.544708251953125
0.0348099999999999,0.1670853597270729,13.698,2.964935302734375
0.0348099999999999,0.2190873128520729,13.698,2.964935302734375
0.03186,0.2086808187114479,14.856000000000002,3.4174346923828125
0.0295,0.3438736898051979,15.666,3.9200592041015625
0.03009,0.3438736898051979,16.296000000000003,4.4336700439453125
0.0295,0.3854691487895729,17.058,4.99053955078125
0.03068,0.541475008164573,17.880000000000003,5.568695068359375
0.03422,0.4894730550395729,18.714,6.137237548828125
0.0348099999999999,0.4894730550395729,20.058,6.749038696289063
0.0348099999999999,0.4998795491801979,20.058,6.749038696289063
0.0348099999999999,0.541475008164573,21.372,7.424697875976562
0.0354,0.687074373398948,22.248,8.131256103515625
0.0348099999999999,0.697480867539573,23.25,8.837814331054688
0.0324499999999999,0.801484773789573,24.06,9.62677001953125
0.03068,0.718263338242698,25.05,10.445938110351562
0.03009,0.843080232773948,25.806,11.295318603515623
0.0336299999999999,0.874269197617698,26.736,12.126846313476562
0.0324499999999999,1.061464021836448,27.846,13.035964965820312
0.03186,1.061464021836448,28.908,13.97735595703125
0.03186,1.009462068711448,28.908,13.97735595703125
0.03009,1.144685457383323,29.856,14.92698669433594
0.0259599999999999,1.279878328477073,30.078,15.928115844726562
0.02242,1.363069246445823,29.754,16.931304931640625
0.02242,1.498262117539573,29.898000000000003,17.89947509765625
0.02183,1.560670564805198,29.910000000000004,18.888931274414062
0.0206499999999999,1.591890047227073,29.994,19.866714477539062
0.0206499999999999,1.727082918320823,29.976000000000003,20.82801818847656
0.01652,1.799867342148948,30.234,21.79893493652344
0.0177,1.799867342148948,29.766,22.7801513671875
0.0177,1.924684236680198,29.766,22.7801513671875
0.01652,1.935090730820823,29.85,23.76548767089844
0.0200599999999999,2.049470613633323,29.88,24.711685180664062
0.01652,2.111879060898948,30.204,25.6915283203125
0.01652,2.059877107773948,30.162000000000003,26.65145874023437
0.0118,2.288667390977073,29.94,27.66082763671875
0.01416,2.236665437852073,29.79,28.642730712890625
0.0129799999999999,2.288667390977073,29.976000000000003,29.61982727050781
0.01416,2.288667390977073,29.988,30.62713623046875
0.0135699999999999,2.455079744492698,30.072,31.56578063964844
0.01121,2.527864168320823,30.42,32.592315673828125
0.00826,2.777467439805198,30.036,33.58314514160156
0.01062,2.631868074570823,29.934,34.558868408203125
0.01062,2.850282381211448,29.88,35.53459167480469
0.0094399999999999,2.871064851914573,30.228,36.52267456054688
0.01062,2.871064851914573,30.102,37.50663757324219
0.0059,2.871064851914573,30.198000000000004,38.52561950683594
0.0059,3.110292146836448,30.198000000000004,38.52561950683594
0.00708,2.975068758164573,29.856,39.50958251953125
0.0059,3.068666170273948,29.946,40.49766540527344
0.00767,3.151887605820823,29.988,41.4678955078125
0.0059,3.183076570664573,30.024,42.44087219238281
0.00354,3.214265535508323,30.378,43.42689514160156
0.00177,3.443086336289573,29.982,44.42665100097656
0.00295,3.339082430039573,29.82,45.37696838378906
0.0047199999999999,3.671876619492698,29.838,46.35612487792969
0.00354,3.619874666367698,30.132000000000005,47.34832763671875
0.00531,3.630281160508323,30.048,48.31512451171875
0.00177,3.848664949570823,30.336,49.30870056152344
0.00177,3.588685701523948,29.874,50.3118896484375
0.0005899999999999,3.879884431992698,29.892,51.29928588867188
0.0023599999999999,3.796662996445823,29.802,52.252349853515625
0.0011799999999999,3.807069490586448,30.024,53.24043273925781
0.0005899999999999,3.848664949570823,30.408,54.21546936035156
-0.0,3.973481844102073,30.09,55.21728515625
-0.0,3.973481844102073,29.85,56.190948486328125
-0.0,4.160676668320823,29.838,57.139892578125
-0.0,3.983888338242698,30.27,58.10256958007813
-0.0,4.264680574570823,29.922,59.07417297363281
-0.0,4.181489656602073,30.43200000000001,60.02449035644531
-0.0,4.223085115586448,29.94,61.00296020507813
-0.0,4.399873445664573,29.922,62.01644897460938
0.00177,4.150270174180198,29.82,62.97706604003906
-0.0,4.358277986680198,30.12,63.95072937011719
0.0005899999999999,4.202272127305198,30.246,64.87495422363281
-0.0,4.462281892930198,30.372,65.863037109375
-0.0,4.379090974961448,30.066,66.84356689453125
-0.0,4.503877351914573,29.766,67.78427124023438
-0.0,4.410279939805198,30.282,68.75312805175781
-0.0,4.545472810898948,29.982,69.73365783691406
-0.0,4.441468904648948,30.354,70.68740844726562
-0.0,4.670289705430198,30.204,71.67755126953125
-0.00177,4.535066316758323,30.252,72.63954162597656
-0.0,4.535066316758323,29.610000000000003,73.60015869140625
-0.0,4.670289705430198,29.610000000000003,73.60015869140625
-0.00177,4.670289705430198,29.934,74.58892822265625
-0.0023599999999999,4.670289705430198,29.292,75.55229187011719
-0.0059,4.774263094102073,28.806,76.47514343261719
-0.00354,4.774263094102073,27.636,77.4041748046875
-0.00354,4.670289705430198,27.636,77.4041748046875
-0.0094399999999999,4.847078035508323,26.616,78.29681396484375
-0.0047199999999999,4.847078035508323,25.428,79.11048889160156
-0.0047199999999999,4.774263094102073,25.428,79.11048889160156
-0.00826,4.815889070664573,24.78,79.94407653808594
-0.00885,4.899079988633323,23.478,80.71723937988281
-0.0100299999999999,4.805482576523948,22.722,81.44851684570312
-0.00885,4.805482576523948,21.666,82.17704772949219
-0.00885,4.649476717148948,20.862,82.83485412597656
-0.0135699999999999,4.722291658555198,20.01,83.5455322265625
-0.0123899999999999,4.847078035508323,18.444,84.18617248535156
-0.00767,4.722291658555198,17.448,84.73068237304688
-0.01062,4.670289705430198,16.866,85.30265808105469
-0.0123899999999999,4.774263094102073,15.822,85.84030151367188
-0.0100299999999999,4.847078035508323,14.808,86.33262634277344
-0.01652,4.857484529648948,14.268,86.80709838867188
-0.01593,4.899079988633323,13.073999999999998,87.24929809570312
-0.01475,4.867891023789573,11.664,87.64411926269531
-0.0118,4.867891023789573,10.71,87.99156188964844
-0.01475,4.867891023789573,10.242,88.32595825195312
-0.0177,4.867891023789573,9.294,88.64593505859375
-0.0188799999999999,4.847078035508323,7.979999999999999,88.94050598144531
-0.01829,4.847078035508323,6.744,89.1815185546875
-0.01475,4.722291658555198,5.502,89.37789916992188
-0.01593,4.722291658555198,4.83,89.54750061035156
-0.01593,4.815889070664573,4.83,89.54750061035156
-0.01534,4.847078035508323,3.912,89.681396484375
-0.0188799999999999,4.857484529648948,3.348,89.79537963867188
-0.0177,4.867891023789573,2.094,89.88395690917969
-0.0177,4.857484529648948,1.272,89.93751525878906
-0.01829,4.847078035508323,0.828,89.97116088867188
-0.0188799999999999,4.847078035508323,0.4019999999999999,89.98558044433594
-0.0188799999999999,4.847078035508323,0.246,89.99656677246094
-0.0188799999999999,4.847078035508323,0.12,90.00137329101562
-0.0200599999999999,4.847078035508323,0.0479999999999999,90.00480651855469
-0.0206499999999999,4.826265047227073,0.0059999999999999,90.00617980957031
-0.0206499999999999,4.805482576523948,0.0119999999999999,90.00823974609375
-0.0200599999999999,4.805482576523948,-0.0119999999999999,90.0054931640625
-0.0200599999999999,4.826265047227073,-0.0119999999999999,90.0054931640625
-0.0200599999999999,4.805482576523948,-0.0,90.00686645507812
-0.0200599999999999,4.847078035508323,0.0059999999999999,90.00755310058594
-0.0200599999999999,4.836671541367698,-0.0059999999999999,90.00823974609375
-0.0206499999999999,4.847078035508323,0.0119999999999999,90.010986328125
-0.0206499999999999,4.847078035508323,-0.0,90.00823974609375
-0.0206499999999999,4.826265047227073,0.018,90.00617980957031
-0.02183,4.857484529648948,0.0119999999999999,90.00686645507812
-0.02183,4.847078035508323,0.018,90.00617980957031
-0.02183,4.847078035508323,-0.0119999999999999,90.00823974609375
-0.02183,4.847078035508323,-0.0059999999999999,90.00755310058594
-0.02242,4.847078035508323,-0.0059999999999999,90.00686645507812
-0.02242,4.847078035508323,-0.0119999999999999,90.01029968261719
-0.02242,4.847078035508323,-0.0119999999999999,90.00411987304688
-0.0236,4.847078035508323,0.0119999999999999,90.00892639160156
-0.03009,4.847078035508323,-0.042,90.00617980957031
-0.03953,4.847078035508323,-0.09,90.00755310058594
-0.0519199999999999,4.857484529648948,-0.3419999999999999,90.00137329101562
-0.07021,4.899079988633323,-0.966,89.98764038085938
-0.08732,4.899079988633323,-2.586,89.93202209472656
-0.08319,4.899079988633323,-5.088,89.80499267578125
-0.08319,4.847078035508323,-7.122000000000001,89.61204528808594
-0.08083,4.878267000352073,-8.501999999999999,89.35592651367188
-0.0755199999999999,4.805482576523948,-9.132,89.05998229980469
-0.07257,4.919862459336448,-9.624,88.74961853027344
-0.08142,4.899079988633323,-10.122,88.43513488769531
-0.08791,4.847078035508323,-10.422,88.10623168945312
-0.0885,4.940675447617698,-11.88,87.75192260742188
-0.08496,5.075868318711448,-13.188,87.35160827636719
-0.08319,4.857484529648948,-13.98,86.91696166992188
-0.08555,4.836671541367698,-14.759999999999998,86.44660949707031
-0.0914499999999999,4.940675447617698,-15.888,85.96664428710938
-0.0914499999999999,4.982270906602073,-17.034,85.42488098144531
-0.08555,4.899079988633323,-17.868000000000002,84.8419189453125
-0.0825999999999999,4.919862459336448,-18.57,84.27406311035156
-0.0890899999999999,4.951081941758323,-19.644,83.66981506347656
-0.08378,4.961488435898948,-20.454,82.95845031738281
-0.08614,4.899079988633323,-21.336,82.30476379394531
-0.09086,4.961488435898948,-22.572,81.617431640625
-0.08614,4.795076082383323,-23.55,80.82023620605469
-0.09204,5.023866365586448,-24.546,80.07179260253906
-0.08319,4.847078035508323,-25.506,79.23683166503906
-0.09558,5.023866365586448,-26.568,78.41629028320312
-0.09322,4.940675447617698,-27.498,77.50236511230469
-0.09558,5.034272859727073,-28.11,76.63375854492188
-0.0926299999999999,4.878267000352073,-29.106,75.70472717285156
-0.0867299999999999,4.899079988633323,-29.97,74.73518371582031
-0.08791,4.815889070664573,-30.138,73.74298095703125
-0.0825999999999999,4.847078035508323,-30.294,72.76382446289062
-0.08142,4.670289705430198,-29.958,71.74072265625
-0.0796499999999999,4.670289705430198,-29.892,70.78010559082031
-0.0796499999999999,4.722291658555198,-29.892,70.78010559082031
-0.08732,4.649476717148948,-29.826,69.81056213378906
-0.08083,4.670289705430198,-30.066,68.83621215820312
-0.08614,4.545472810898948,-30.186,67.84194946289062
-0.0778799999999999,4.618287752305198,-30.33,66.87034606933594
-0.08614,4.659883211289573,-29.988,65.8740234375
-0.0802399999999999,4.535066316758323,-29.922,64.92164611816406
-0.08378,4.535066316758323,-30.018,63.95759582519532
-0.08319,4.503877351914573,-30.204,62.98736572265625
-0.07729,4.451875398789573,-30.15,62.02537536621094
-0.08142,4.379090974961448,-29.976000000000003,61.0125732421875
-0.0743399999999999,4.379090974961448,-29.964,60.03753662109375
-0.07847,4.306276033555198,-29.592,59.10095214843751
-0.0825999999999999,4.327089021836448,-30.018,58.138275146484375
-0.0755199999999999,4.108674715195823,-30.174000000000003,57.16804504394531
-0.0796499999999999,4.202272127305198,-30.288,56.23146057128906
-0.07493,4.025483797227073,-30.216,55.20973205566406
-0.0743399999999999,4.077485750352073,-29.916,54.229888916015625
-0.07906,4.139863680039573,-29.898000000000003,53.26446533203125
-0.07611,4.004670808945823,-30.126,52.279815673828125
-0.07906,4.025483797227073,-30.126,51.31095886230469
-0.0719799999999999,3.848664949570823,-30.306,50.36476135253906
-0.07611,3.879884431992698,-30.174000000000003,49.32655334472656
-0.07021,3.838288973008323,-29.694,48.37623596191406
-0.07257,3.827882478867698,-29.778,47.43415832519531
-0.0755199999999999,3.807069490586448,-29.886,46.495513916015625
-0.07316,3.651063631211448,-30.258,45.53215026855469
-0.07021,3.547090242539573,-30.156,44.56123352050781
-0.0708,3.567872713242698,-30.132000000000005,43.54774475097656
-0.0654899999999999,3.287080476914573,-29.874,42.58712768554688
-0.07139,3.453462312852073,-29.988,41.6546630859375
-0.0719799999999999,3.328675935898948,-30.198000000000004,40.691986083984375
-0.06844,3.255891512070823,-30.228,39.69841003417969
-0.07021,3.193483064805198,-30.246,38.73435974121094
-0.06431,3.151887605820823,-30.03,37.71743774414063
-0.07139,3.151887605820823,-29.67,36.758880615234375
-0.0654899999999999,3.120668123398948,-29.862,35.75431823730469
-0.06903,3.120668123398948,-30.138,34.79713439941406
-0.06903,2.964662264023948,-30.138,34.79713439941406
-0.0654899999999999,2.943879793320823,-30.108000000000004,33.78227233886719
-0.0654899999999999,2.943879793320823,-30.228,32.84156799316406
-0.0654899999999999,2.839875887070823,-30.228,32.84156799316406
-0.05841,2.642274568711448,-29.952,31.82670593261719
-0.0631299999999999,2.735871980820823,-29.928,30.853729248046875
-0.06372,2.486268709336448,-29.982,29.89173889160156
-0.06254,2.538270662461448,-30.156,28.90708923339844
-0.06018,2.455079744492698,-30.27,27.9217529296875
-0.05841,2.319886873398948,-30.216,26.931610107421875
-0.05959,2.236665437852073,-29.85,25.9552001953125
-0.05959,2.288667390977073,-29.82,24.95819091796875
-0.05841,2.288667390977073,-30.036,24.02778625488281
-0.05841,2.153474519883323,-30.036,24.02778625488281
-0.0554599999999999,2.111879060898948,-30.198000000000004,23.02459716796875
-0.059,2.028688142930198,-30.204,22.035140991210938
-0.05015,1.883088777695823,-30.036,21.016159057617188
-0.0542799999999999,1.851869295273948,-29.79,20.0390625
-0.0519199999999999,1.654267976914573,-29.832000000000004,19.064712524414062
-0.0560499999999999,1.654267976914573,-30.084000000000003,18.109588623046875
-0.0519199999999999,1.571077058945823,-30.216,17.11395263671875
-0.0519199999999999,1.498262117539573,-30.282,16.114883422851562
-0.04779,1.352662752305198,-29.922,15.093841552734377
-0.05133,1.269471834336448,-29.862,14.129791259765623
-0.05015,1.238282869492698,-29.874,13.160247802734377
-0.0472,1.207063387070823,-30.156,12.207870483398438
-0.05133,1.082277010117698,-30.042,11.256179809570312
-0.04366,1.061464021836448,-30.216,10.239944458007812
-0.04484,0.936677644883323,-29.910000000000004,9.263534545898438
-0.04425,0.801484773789573,-29.916,8.283004760742188
-0.04897,0.718263338242698,-29.988,7.312088012695312
-0.04366,0.666291902695823,-30.162000000000003,6.3397979736328125
-0.04484,0.645478914414573,-30.258,5.3812408447265625
-0.04248,0.4478775960551979,-30.132000000000005,4.384918212890625
-0.03835,0.3958756429301979,-29.934,3.3885955810546875
-0.04307,0.3126847249614479,-29.892,2.44171142578125
-0.0412999999999999,0.3126847249614479,-30.078,1.49688720703125
-0.03953,0.1878678304301979,-30.036,0.516357421875
-0.0389399999999999,0.1358658773051979,-30.414,-0.454559326171875
-0.03658,0.0942704183208229,-30.126,-1.45843505859375
-0.03835,0.0942704183208229,-29.97,-2.437591552734375
-0.03835,0.0214859944926979,-29.97,-2.437591552734375
-0.03658,-0.155332853163552,-29.892,-3.358383178710937
-0.0359899999999999,-0.155332853163552,-30.156,-4.3505859375
-0.0359899999999999,-0.186521818007302,-30.156,-4.3505859375
-0.0336299999999999,-0.290525724257302,-30.156,-5.354461669921875
-0.0324499999999999,-0.384123136366677,-30.162000000000003,-6.3191986083984375
-0.03009,-0.456938077772927,-29.910000000000004,-7.321701049804687
-0.03068,-0.456938077772927,-29.778,-8.2781982421875
-0.03068,-0.550535489882302,-29.778,-8.2781982421875
-0.0359899999999999,-0.644132901991677,-29.874,-9.2340087890625
-0.03127,-0.758512784804177,-29.916,-10.21728515625
-0.0324499999999999,-0.904112150038552,-30.258,-11.153182983398438
-0.03127,-0.893736173476052,-30.198000000000004,-12.15087890625
-0.0271399999999999,-1.080930997694802,-30.21,-13.141021728515623
-0.03009,-1.028929044569802,-29.97,-14.109878540039062
-0.0277299999999999,-1.091337491835427,-30.162000000000003,-15.10414123535156
-0.0295,-1.091337491835427,-30.12,-16.061325073242188
-0.0295,-1.205717374647927,-30.12,-16.061325073242188
-0.0259599999999999,-1.268125821913552,-30.21,-17.013015747070312
-0.0259599999999999,-1.372129728163552,-30.198000000000004,-17.982559204101562
-0.02242,-1.600920011366677,-30.102,-18.994674682617188
-0.0253699999999999,-1.548918058241677,-29.97,-19.96009826660156
-0.02301,-1.715330411757302,-30.108000000000004,-20.910415649414062
-0.02242,-1.600920011366677,-30.252,-21.91841125488281
-0.0236,-1.892118741835427,-30.234,-22.907867431640625
-0.0177,-1.985716153944802,-30.354,-23.867111206054688
-0.0200599999999999,-2.048124601210427,-29.964,-24.855880737304688
-0.0177,-2.068937589491677,-30.312,-25.835037231445312
-0.0206499999999999,-2.131315519179177,-30.036,-26.795654296875
-0.01593,-2.100126554335427,-30.21,-27.752838134765625
-0.01829,-2.245725919569802,-30.204,-28.779373168945312
-0.01416,-2.391325284804177,-30.168,-29.77157592773437
-0.01475,-2.401731778944802,-29.832000000000004,-30.701980590820312
-0.01416,-2.630522062147927,-30.024,-31.68731689453125
-0.01534,-2.464109708632302,-30.228,-32.67059326171875
-0.01416,-2.651335050429177,-30.222,-33.63189697265625
-0.0118,-2.765714933241677,-30.372,-34.608306884765625
-0.01062,-2.890531827772927,-30.12,-35.61012268066406
-0.0100299999999999,-2.973722745741677,-30.312,-36.54945373535156
-0.0118,-2.973722745741677,-29.964,-37.50801086425781
-0.0094399999999999,-3.119322110976052,-30.276,-38.47206115722656
-0.0123899999999999,-3.077726651991677,-30.078,-39.42924499511719
-0.00826,-3.119322110976052,-30.51,-40.42213439941406
-0.0064899999999999,-3.119322110976052,-30.03,-41.41365051269531
-0.00826,-3.285734464491677,-30.09,-42.39830017089844
-0.0094399999999999,-3.337736417616677,-30.222,-43.35479736328125
-0.00531,-3.514524747694802,-30.198000000000004,-44.35455322265625
-0.00767,-3.483335782851052,-30.294,-45.2801513671875
-0.0059,-3.535337735976052,-30.258,-46.28334045410156
-0.00354,-3.514524747694802,-30.402,-47.25357055664063
-0.0047199999999999,-3.639311124647927,-30.18,-48.2080078125
-0.0023599999999999,-3.691313077772927,-30.498000000000005,-49.19471740722656
-0.00354,-3.826536466444802,-29.982,-50.181427001953125
-0.0023599999999999,-3.888914396132302,-30.438,-51.14753723144531
-0.0023599999999999,-3.961729337538552,-30.012,-52.11296081542969
-0.0005899999999999,-3.961729337538552,-30.21,-53.11134338378906
-0.0005899999999999,-3.992918302382302,-30.21,-53.11134338378906
-0.00354,-3.992918302382302,-30.318,-54.05479431152344
-0.0,-3.992918302382302,-30.234,-55.06828308105469
-0.0,-4.200926114882302,-30.234,-55.06828308105469
-0.00177,-4.034513761366677,-30.276,-56.0357666015625
-0.0005899999999999,-4.034513761366677,-30.378,-57.00874328613281
-0.0005899999999999,-4.408933927382302,-30.378,-57.00874328613281
-0.0,-4.180113126601052,-30.468,-57.98446655273437
-0.0005899999999999,-4.180113126601052,-30.102,-58.93615722656251
-0.0005899999999999,-4.325712491835427,-30.102,-58.93615722656251
-0.0,-4.346525480116677,-30.534,-59.94003295898437
-0.0,-4.346525480116677,-30.018,-60.92674255371094
-0.0,-4.606535245741677,-30.42,-61.89216613769531
-0.0005899999999999,-4.440122892226052,-30.204,-62.87338256835938
0.0005899999999999,-4.637724210585427,-30.384,-63.83537292480469
-0.00295,-4.512937833632302,-30.228,-64.77607727050781
0.0005899999999999,-4.533720304335427,-30.402,-65.77102661132812
-0.0,-4.564909269179177,-30.33,-66.74949645996094
-0.0,-4.814512540663552,-30.258,-67.69500732421875
-0.0,-4.544126798476052,-30.618,-68.65493774414062
-0.0,-4.856107999647927,-30.162000000000003,-69.65194702148438
-0.0,-4.658537198866677,-30.72,-70.64140319824219
-0.0,-4.772917081679177,-30.138,-71.61300659179688
0.0011799999999999,-4.772917081679177,-30.341999999999995,-72.61619567871094
0.0011799999999999,-4.949735929335427,-30.341999999999995,-72.61619567871094
-0.0,-4.762510587538552,-29.994,-73.52874755859375
0.00295,-5.043333341444802,-30.426,-74.5147705078125
0.0005899999999999,-4.824919034804177,-29.592,-75.47950744628906
0.0047199999999999,-4.824919034804177,-28.962,-76.41471862792969
0.0047199999999999,-4.991331388319802,-28.962,-76.41471862792969
0.00413,-4.960111905897927,-27.78,-77.33482360839844
0.0100299999999999,-5.032926847304177,-26.922,-78.22608947753906
0.0047199999999999,-5.032926847304177,-25.716,-79.05693054199219
0.00767,-5.032926847304177,-25.056,-79.881591796875
0.00767,-5.084928800429177,-25.056,-79.881591796875
0.00767,-5.032926847304177,-23.688,-80.64445495605469
0.00885,-5.032926847304177,-23.232,-81.41075134277344
0.00885,-5.032926847304177,-21.894,-82.13104248046875
0.0100299999999999,-5.032926847304177,-21.096,-82.81974792480469
0.01475,-5.136930753554177,-19.908,-83.49746704101562
0.00885,-5.084928800429177,-18.528,-84.08454895019531
0.0094399999999999,-5.043333341444802,-18.144,-84.67437744140625
0.01416,-5.126524259413552,-17.310000000000002,-85.24909973144531
0.0100299999999999,-5.084928800429177,-15.971999999999998,-85.75996398925781
0.0118,-5.084928800429177,-15.18,-86.26396179199219
0.01593,-5.032926847304177,-14.466,-86.73980712890625
0.01593,-5.032926847304177,-13.002,-87.19917297363281
0.0129799999999999,-5.012113859022927,-11.904,-87.57545471191406
0.01475,-4.991331388319802,-11.255999999999998,-87.94281005859375
0.0200599999999999,-5.032926847304177,-10.53,-88.30604553222656
0.02242,-5.178526212538552,-9.114,-88.63975524902344
0.01593,-5.168119718397927,-7.782000000000001,-88.91578674316406
0.0135699999999999,-5.136930753554177,-6.45,-89.14649963378906
0.0135699999999999,-5.032926847304177,-5.814,-89.33052062988281
0.0129799999999999,-5.084928800429177,-5.256,-89.49874877929688
0.0177,-5.053709318007302,-4.794,-89.65805053710938
0.0188799999999999,-5.084928800429177,-3.738,-89.78782653808594
0.0277299999999999,-5.105711271132302,-3.246,-89.8956298828125
0.0236,-5.209715177382302,-1.35,-89.97047424316406
0.0236,-5.136930753554177,-0.414,-89.99862670898438
0.02183,-5.074522306288552,-0.072,-90.00274658203125
0.02124,-5.084928800429177,0.0059999999999999,-90.00411987304688
