m_t_3,jts3,v3,q3
-0.00642,-0.0001501263199397,0.1379999999999999,-0.00274658203125
-0.00749,-0.0001501263199397,-0.054,-0.0
-0.00749,-0.0111059368668147,-0.054,-0.0
-0.00642,-0.0001501263199397,-0.162,-0.0
-0.0,-0.0001501263199397,-0.0,-0.0020599365234375
0.01284,-0.0220617474136897,0.1379999999999999,0.001373291015625
0.03745,-0.3014959515152522,0.6300000000000001,0.001373291015625
0.06313,-0.6576208294449397,1.4580000000000002,0.0377655029296875
0.07276,-1.3205846966324395,2.61,0.1023101806640625
0.0749,-1.4246801556168147,3.786,0.2094268798828125
0.06313,-0.9808782757340022,5.274,0.3577423095703125
0.05885,-0.1042455853043147,5.928,0.5472564697265625
0.06634,0.4272180377425603,6.864,0.759429931640625
0.07062,0.2792840777816228,7.77,0.984649658203125
0.06848,-0.1152013958511897,8.346,1.2476348876953125
0.07276,-0.1809515179215022,10.104,1.5277862548828125
0.06955,-0.1809515179215022,10.872000000000002,1.8628692626953125
0.06955,-0.0658849896011897,10.872000000000002,1.8628692626953125
0.05885,0.4436517535628728,12.054,2.23846435546875
0.05029,0.4436517535628728,12.384,2.6470184326171875
0.05029,1.1449609576644353,12.384,2.6470184326171875
0.04922,1.6326013385238105,12.876,3.05419921875
0.05992,1.8681970416488105,14.55,3.497772216796875
0.06527,1.1285272418441228,15.294,3.962631225585937
0.06099,1.3586450396956853,16.554,4.4666290283203125
0.07169,2.147631245750373,17.574,5.0042724609375
0.04815,2.88180788149256,18.972,5.590667724609375
0.0428,2.88180788149256,19.44,6.2237548828125
0.0428,2.9804254352034976,19.44,6.2237548828125
0.05136,3.59408815493006,20.544,6.8671417236328125
0.0428,3.59408815493006,21.966,7.560653686523437
0.0428,3.80227907289881,21.966,7.560653686523437
0.04173,5.067934590476935,22.02,8.279571533203125
0.03745,5.024096089500373,23.748,9.019775390625
0.03317,5.062456685203498,24.66,9.759292602539062
0.03531,5.862383443015998,25.644,10.542755126953123
0.04387,5.517214375633185,26.364,11.37908935546875
0.02568,7.900576192039435,27.618,12.231216430664062
0.02247,6.963671284812873,29.214,13.154754638671877
0.00214,9.631945210594123,29.568,14.100265502929688
0.00321,9.073076802390998,29.436,15.062255859375
-0.00107,11.330431538719123,30.012,15.979614257812502
-0.0,10.316820698875372,29.628,16.942291259765625
-0.00963,11.692049580711313,30.42,17.854843139648438
-0.00749,11.505755025047248,30.216,18.85116577148437
-0.02461,13.291903096336313,30.804,19.83924865722656
-0.02782,13.401491719383186,29.628,20.837631225585938
-0.03531,13.97677858461756,30.48,21.76254272460937
-0.02033,13.987749653953498,29.874,22.74169921875
-0.02996,14.058977681297248,30.918000000000003,23.736648559570312
-0.03959,14.058977681297248,30.341999999999995,24.713058471679688
-0.03959,15.352007466453498,30.341999999999995,24.713058471679688
-0.05885,16.321795064109747,30.066,25.745086669921875
-0.05457,17.855913716453497,30.918000000000003,26.68853759765625
-0.05671,17.49978883852381,30.282,27.677993774414062
-0.06206,18.34355409731287,31.056,28.65097045898437
-0.05885,17.92166383852381,30.15,29.61227416992188
-0.08667,19.47769411196131,30.672,30.620269775390625
-0.08132,19.768084126609747,29.982,31.63787841796875
-0.08774,20.502276021141,30.42,32.56622314453125
-0.08132,20.858416157859747,29.706,33.54949951171875
-0.08988,20.578981953758184,30.042,34.50599670410156
-0.09095,21.69121034731287,30.012,35.49407958984375
-0.09416,22.11310060610193,30.012,36.48628234863281
-0.11235,23.833513814109747,30.288,37.472991943359375
-0.11021,23.428057271141,29.628,38.41712951660156
-0.11128,24.50741823305506,30.096000000000004,39.37568664550781
-0.107,23.88829286684412,30.504,40.35415649414063
-0.12626,25.33474977602381,31.134,41.348419189453125
-0.12733,25.42241151918787,30.528,42.34954833984375
-0.13161,26.44699342836756,30.066,43.330078125
-0.12412,26.56204469789881,30.312,44.30992126464844
-0.14445,26.34288271059412,30.504,45.226593017578125
-0.13054,27.16473634828944,30.804,46.19956970214844
-0.1391,27.34555299868006,29.796000000000003,47.208251953125
-0.15408,28.87419374575037,30.696,48.20457458496094
-0.15194,28.87419374575037,30.228,49.17961120605469
-0.15194,28.49066408266444,30.228,49.17961120605469
-0.15729,29.685076314109747,30.396,50.18211364746094
-0.14659,29.685076314109747,30.09,51.15165710449219
-0.14659,29.00567873110193,30.09,51.15165710449219
-0.16264,30.34256227602381,30.858,52.12532043457031
-0.16478,30.07408388246912,30.174000000000003,53.1134033203125
-0.17655,31.383562642234747,31.188,54.073333740234375
-0.16157,31.04387148012537,30.234,55.020904541015625
-0.18297,31.37260683168787,30.450000000000003,55.97465515136719
